Hour,kcals,METs,Number of Freedson (1998) Bouts occurring in this hour,Number of Freedson (1998) Bouts starting in this hour,Number of Freedson (1998) Bouts ending in this hour,Total time of Freedson (1998) Bouts occurring in this hour,Total activity counts of Freedson (1998) Bouts occurring in this hour,Number of Sedentary Bouts occurring in this hour,Number of Sedentary Bouts starting in this hour,Number of Sedentary Bouts ending in this hour,Total time of Sedentary Bouts occurring in this hour,Number of Sedentary Breaks occurring in this hour,Number of Sedentary Breaks starting in this hour,Number of Sedentary Breaks ending in this hour,Total time of Sedentary Breaks occurring in this hour,Sedentary,Light,Moderate,Vigorous,Very Vigorous,Total MVPA,% in MVPA,Axis 1 Counts,Axis 2 Counts,Axis 3 Counts,Axis 1 Average Counts,Axis 2 Average Counts,Axis 3 Average Counts,Axis 1 Max Counts,Axis 2 Max Counts,Axis 3 Max Counts,Axis 1 CPM,Axis 2 CPM,Axis 3 CPM,Vector Magnitude Counts,Vector Magnitude Average Counts,Vector Magnitude Max Counts,Vector Magnitude CPM,Steps Counts,Steps Average Counts,Steps Max Counts,Steps Per Minute,Lux Average Counts,Lux Max Counts,Number of Epochs,Time,Calendar Days
12:00 AM,89.677,1.049,0,0,0,0,0,49,33,36,873,41,36,33,2934.83333333333,1037,30,12,0,0,0.333333333333333,0,88508,61364,99881,16.3,11.5,18.2,1613,1593,1858,82,56.9,92.6,148115.5,28.7,2371.8,137.3,597,0.1,9,0.6,0,0,6474,1079,21
1:00 AM,119.477,1.088,0,0,0,0,0,45,32,34,776.833333333333,41,34,32,2930.33333333333,952.5,25.3,20.7,0,0,1.5,0,118953,97894,136115,25.7,22.2,28.4,1724,1706,1728,119.1,98,136.3,206671,46.7,2663.2,207,836,0.2,11,0.8,0,0,5991,998.5,21
2:00 AM,78.881,1.059,0,0,0,0,0,47,36,31,845.5,40,31,36,3200.66666666667,912,14.7,14.3,0,0,0.5,0,82357,64550,84987,18.5,13.8,17.5,1754,1603,1498,87.5,68.6,90.3,136227.5,30.3,2453.6,144.8,492,0.1,8,0.5,0,0,5646,941,21
3:00 AM,78.482,1.044,0,0,0,0,0,49,33,32,928,36,32,33,3064,1021.2,18,12.7,0,0,0,0,77638,66394,88700,13.5,11.8,15,1435,1379,1360,73.8,63.1,84.3,136545.9,24.5,2117.2,129.8,487,0.1,8,0.5,0,0,6311,1051.83,20
4:00 AM,120.098,1.065,0,0,0,0,0,48,31,32,933.166666666667,36,32,31,3405.16666666667,1060.7,33.2,17.2,0,0,0,0,114075,87511,127112,21,15.7,24.3,1542,1479,1405,102.7,78.8,114.4,193157.3,37.6,2336.7,173.9,849,0.2,9,0.8,0,0,6666,1111,21
5:00 AM,137.656,1.145,0,0,0,0,0,46,30,31,838.666666666667,36,31,30,3075.83333333333,939.5,29.7,22.8,0,0,1.33333333333333,0,133833,116540,156704,43,39.6,48.5,1529,1698,1578,134.9,117.5,158,238351.3,80.1,2428,240.3,1030,0.3,15,1,0,0,5952,992,21
6:00 AM,140.061,1.069,0,0,0,0,0,46,31,29,921,35,29,31,2742.66666666667,989.5,32.7,22.8,0,0,0.166666666666667,0,138669,131048,163388,21.9,20.4,25.7,1565,1329,1255,132.7,125.4,156.4,252510.5,41.3,2201.2,241.6,1050,0.2,10,1,0,0,6270,1045,21
7:00 AM,345.825,1.174,0,0,0,0,0,32,15,26,693,30,26,15,0,968.7,126.3,43.7,0,0,3.33333333333333,0,321126,295777,405728,63.1,51.4,76.1,1659,1657,1776,282,259.8,356.3,597758.1,117.3,2336.8,525,2865,0.6,14,2.5,0,0,6832,1138.67,23
8:00 AM,1265.492,1.603,6,6,5,60.5,200195,13,7,11,170.833333333333,26,11,7,0,590.7,321.5,195.2,0,0,12.3333333333333,0,1206852,1260621,1504313,183.9,176,233.2,1997,1998,2180,1089.9,1138.4,1358.5,2306995.3,364.9,3241.4,2083.4,12931,2,17,11.7,0,0,6644,1107.33,22
9:00 AM,1291.607,1.493,3,2,2,17.8333333333333,56000,7,5,6,79.3333333333333,25,6,5,0,628.5,448.2,170,0,0,9.16666666666667,0,1193420,1199525,1483983,159.5,158.3,196.4,1925,2155,2135,957.3,962.2,1190.4,2254414.2,316.3,2859.1,1808.4,14642,2,20,11.7,0,0,7480,1246.67,22
10:00 AM,1186.744,1.534,5,4,5,54,180267,7,6,5,86,25,5,6,0,677.5,373,169.3,0,0,8,0,1135462,1062542,1365268,172.9,160.6,204.3,1882,1830,2172,930.8,871.1,1119.2,2078287.4,331.4,3146.2,1703.7,12878,1.8,16,10.6,0,0,7319,1219.83,22
11:00 AM,1049.733,1.435,2,2,2,21.6666666666667,65867,9,7,8,100.166666666667,26,8,7,0,736.8,344.2,148,0,0,2.66666666666667,0,968605,915710,1256195,135.7,128.2,175.6,1525,1946,2143,788.1,745.1,1022.1,1844053.7,272.6,2494.2,1500.5,10577,1.5,17,8.6,0,0,7374,1229,21
12:00 PM,1258.796,1.479,1,1,1,10,28954,13,12,11,146.833333333333,31,11,12,0,738.7,372.2,179.5,0,0,0.833333333333333,0,1173348,1255985,1618233,148.9,159.1,205,2085,3294,2183,909.3,973.4,1254.1,2368783.6,315.6,4450.5,1835.8,12871,1.6,19,10,0,0,7742,1290.33,22
1:00 PM,1138.146,1.417,0,0,0,0,0,7,5,5,115.166666666667,24,5,4,0,774,392.5,153.5,0,0,0,0,1061023,1155514,1506403,134,145.9,190.2,1689,2727,2245,803.8,875.4,1141.2,2182028.5,290.1,3355.3,1653.1,11569,1.5,17,8.8,0,0,7920,1320,22
2:00 PM,1284.476,1.437,0,0,0,0,0,6,4,6,90.3333333333333,25,5,4,0,662.7,497.5,154.2,0,0,0,0,1176453,1189829,1594325,145.2,146.4,196,1630,2235,1865,895.1,905.3,1213,2317617,302.4,2893.3,1763.3,12497,1.5,17,9.5,0,0,7886,1314.33,23
3:00 PM,925.914,1.341,0,0,0,0,0,8,8,6,143.833333333333,27,6,8,0,773.3,382,106.3,0,0,2.33333333333333,0,844190,773186,1097356,115,105.2,146.3,1800,1941,1627,669.1,612.8,869.8,1592235.5,228.2,2433.7,1262,9186,1.2,23,7.3,0,0,7570,1261.67,22
4:00 PM,1017.655,1.383,2,2,2,21.5,71163,9,7,6,107.833333333333,25,6,7,0,761.8,367.2,131,0,0,4,0,959926,879067,1253750,127,116.3,165.8,1884,1846,1716,761.8,697.7,995,1815577.8,255.1,2695.1,1440.9,9320,1.2,14,7.4,0,0,7560,1260,21
5:00 PM,1022.976,1.393,0,0,0,0,0,7,4,6,114.666666666667,24,6,4,0,776.3,345.5,138.2,0,0,14.5,0,956401,870394,1174069,126.5,115.1,155.3,2047,1440,1906,759,690.8,931.8,1756386.7,247.0,2833.1,1394,9639,1.3,17,7.7,0,0,7560,1260,21
6:00 PM,1241.103,1.474,0,0,0,0,0,6,5,4,56,24,4,5,0,669,426.8,164.2,0,0,18.6666666666667,0,1163898,1103324,1443063,154,145.9,190.9,1729,2075,1927,923.7,875.7,1145.3,2167413.9,304.1,3200,1720.2,12663,1.7,17,10.1,0,0,7560,1260,21
7:00 PM,957.759,1.367,0,0,0,0,0,5,3,5,53.3333333333333,24,5,3,0,801.2,330.3,128.5,0,0,3.83333333333333,0,904970,726850,1036984,119.7,96.1,137.2,1671,1682,1969,718.2,576.9,823,1566263.6,220.7,2451.4,1243.1,8655,1.1,17,6.9,0,0,7560,1260,21
8:00 PM,1052.286,1.395,0,0,0,0,0,4,4,3,39.5,24,3,4,0,739.2,387,133.8,0,0,9,0,972049,883570,1249043,128.6,116.9,165.2,1847,1920,1989,771.5,701.2,991.3,1825549.7,256.2,2841.8,1448.8,9776,1.3,19,7.8,0,0,7560,1260,21
9:00 PM,1344.744,1.507,1,1,0,0.666666666666667,2664,3,2,3,31.1666666666667,23,3,2,0,621.8,466.5,171.7,0,0,10.8333333333333,0,1235454,1253167,1624316,163.4,165.8,214.9,1735,2070,1883,980.5,994.6,1289.1,2401835.1,336.3,2565.5,1906.2,12138,1.6,13,9.6,0,0,7560,1260,21
10:00 PM,785.337,1.299,1,0,1,10.1666666666667,34171,13,13,6,152,27,6,13,0,875.7,278.3,106,0,0,3.5,0,746849,552816,914472,98.8,73.1,121,1712,2518,1858,592.7,438.7,725.8,1311172.9,184.5,3277.9,1040.6,6449,0.9,12,5.1,0,0,7560,1260,21
11:00 PM,274.791,1.111,0,0,0,0,0,33,26,17,573.166666666667,31,17,26,0,1038.2,103.2,36.5,0,0,1.33333333333333,0,264160,145573,299080,37.6,20.6,42.6,1554,1901,1661,224.3,123.6,253.9,428367,64.9,2586.1,363.7,1918,0.3,9,1.6,0,0,7067,1177.83,21
